symbol,active,kind,index,portfolio
NIFTY50,1,index,,Y
NIFTY500,1,index,,Y
CPPLUS,1,equity,NS,N
AVL,1,equity,NS,N
AEROFLEX,1,equity,NS,Y
AETHER,1,equity,NS,Y
AIMTRON,1,equity,NS,Y
APARINDS,1,equity,NS,N
APOLLOHOSP,1,equity,NS,N
APOLLO,1,equity,NS,Y
ASTRAMICRO,1,equity,NS,N
ATHERENERG,1,equity,NS,Y
ATLANTAELE,1,equity,NS,N
AURIONPRO,1,equity,NS,N
AXISCADES,1,equity,NS,N
AZAD,1,equity,NS,Y
BBOX,1,equity,NS,N
BLACKBUCK,1,equity,NS,N
BLUESTARCO,1,equity,NS,N
BORORENEW,1,equity,NS,N
BSE,1,equity,NS,N
CARTRADE,1,equity,NS,N
CEINSYS,1,equity,NS,N
CENTUM,1,equity,NS,N
CGPOWER,1,equity,NS,N
COFORGE,1,equity,NS,Y
DATAPATTNS,1,equity,NS,Y
DIXON,1,equity,NS,N
ELECON,1,equity,NS,N
EMMVEE,1,equity,NS,N
ETERNAL,1,equity,NS,N
FRONTSP,1,equity,NS,N
NYKAA,1,equity,NS,N
GRSE,1,equity,NS,N
GVT&D,1,equity,NS,N
HBLENGINE,1,equity,NS,N
HFCL,1,equity,NS,Y
INDHOTEL,1,equity,NS,N
IMFA,1,equity,NS,N
IKS,1,equity,NS,N
JSLL,1,equity,NS,Y
KALYANKJIL,1,equity,NS,Y
KAYNES,1,equity,NS,Y
KDDL,1,equity,NS,N
KLBRENG-B,1,equity,NS,N
KMEW,1,equity,NS,N
KPIGREEN,1,equity,NS,Y
KRISHNADEF,1,equity,NS,N
KRN,1,equity,NS,Y
KSHINTL,1,equity,NS,N
LLOYDSME,1,equity,NS,N
LUMAXTECH,1,equity,NS,N
MANORAMA,1,equity,NS,N
MTARTECH,1,equity,NS,N
MCX,1,equity,NS,N
MUTHOOTFIN,1,equity,NS,N
NETWEB,1,equity,NS,N
NLCINDIA,1,equity,NS,N
NUVAMA,1,equity,NS,N
OMNI,1,equity,NS,Y
PARAS,1,equity,NS,N
PERSISTENT,1,equity,NS,N
PGEL,1,equity,NS,N
POLYCAB,1,equity,NS,Y
QPOWER,1,equity,NS,N
RACLGEAR,1,equity,NS,N
RATEGAIN,1,equity,NS,Y
ROSSTECH,1,equity,NS,N
SANSERA,1,equity,NS,N
SEDEMAC,1,equity,NS,N
SGMART,1,equity,NS,N
SHILCTECH,1,equity,NS,N
SBCL,1,equity,NS,N
SJS,1,equity,NS,N
SKIPPER,1,equity,NS,N
SKYGOLD,1,equity,NS,Y
SONACOMS,1,equity,NS,N
STLTECH,1,equity,NS,N
SYRMA,1,equity,NS,N
TARIL,1,equity,NS,N
TAC,1,equity,NS,Y
TDPOWERSYS,1,equity,NS,N
TECHNOE,1,equity,NS,N
THYROCARE,1,equity,NS,N
TRENT,1,equity,NS,Y
VMARCIND,1,equity,NS,N
V2RETAIL,1,equity,NS,Y
VINCOFE,1,equity,NS,Y
VMM,1,equity,NS,N
YATHARTH,1,equity,NS,Y
ZAGGLE,1,equity,NS,N
ZENTEC,1,equity,NS,N
ZOTA,1,equity,NS,Y
SHADOWFAX,1,equity,NS,Y
RRKABEL,1,equity,NS,N
YASHHV,1,equity,BO,Y
OBSCP-SM,1,equity,NS,Y
