Date,Open,High,Low,Close,Volume,EMA_50,EMA_200,Below_EMA_200,EMA_score,EMA_trend,ST_state,ST_signal,MS_structure,MS_bias,Trend_score,Trend_band,Trend_agreement,Trend_description,RS_score,RS_state,RS_agreement,RSI_14,RSI_state,MACD,MACD_signal,MACD_state,Stoch_state,ROC_10,ROC_10_z,ROC_10_z_basis,ROC_score,ROC_state,Momentum_score,Momentum_band,Momentum_agreement,Momentum_divergence,Momentum_description,BB_state,ADX_regime,ADX_direction,ADX_rising,ATR_rising,DC_state,Volatility_score,Volatility_band,Volatility_trend,Volatility_change,Volatility_squeeze,Volatility_description,ATR_note,Vol_state,Vol_trend,Vol_price_confirm,CMF,CMF_state,MFI,MFI_state,Stage_name,Stage_substage,Stage_confidence,Stage_days,Prev_stage_name,Prev_stage_days,Final_decision,Final_score,Final_conviction,Final_blocker,Final_description,Final_description_5d_ago,Final_description_10d_ago
2023-08-31,189.24346316280628,195.5681849845655,161.65376130972987,162.5999755859375,36098037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,164.24340967007657,170.76733249839057,157.8688987038352,164.343017578125,9720028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-04,164.34300830818364,166.58404933056795,159.7115296078022,160.55813598632812,3010366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-05,159.8609311534101,161.8529676786862,152.8888033149436,153.5362091064453,3460816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-06,154.38282612327606,161.85296287117652,153.5860084972269,158.4665069580078,2759974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-07,159.8609220262231,160.8071362820991,155.62784465169696,156.0760498046875,1515649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-08,157.81908023362402,158.36689328143655,154.781221693965,155.97645568847656,1008534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,157.86890646721557,158.2673077229351,153.8848331178852,154.33303833007812,1107364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-12,155.3788456204656,156.77326507887227,146.61388205867905,148.05810546875,1383190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-13,148.70552258692342,157.96849502900835,144.8708463787276,155.1298370361328,2802134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,157.32107470252566,159.16371448748674,155.92665527468566,157.27127075195312,1490449,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-3.2772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-15,159.16372420237215,159.16372420237215,154.88084255826064,155.82705688476562,925930,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-5.1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-18,156.27525050544406,156.87286750849864,152.3907855796844,152.9385986328125,417796,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-4.7457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-20,151.49438382646332,156.7234797053132,150.89676678966745,153.5362091064453,834708,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-21,153.33701686105564,155.82706265353147,149.90075670704567,150.9465789794922,610128,,,,14.81,Strong Bear,Uptrend,Hold,,,,,,,,,,52.1024,Neutral,,,,,-4.7454,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2725,Neutral,,,,,,,,,,,,,
2023-09-22,151.09596399618286,153.6358135482564,150.39875426766108,151.19557189941406,730176,,,,16.33,Strong Bear,Uptrend,Hold,,,,,,,,,,52.4578,Neutral,,,,,-3.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8818,Neutral,,,,,,,,,,,,,
2023-09-25,151.64378316713487,152.1915962608756,145.9166780557324,148.45652770996094,514346,,,,13.47,Strong Bear,Uptrend,Hold,,,,,,,,,,48.2195,Neutral,,,,Neutral,-4.8212,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2119,Neutral,,,,,,,,,,,,,
2023-09-26,148.50631855446946,150.7971482383856,147.6596970117829,148.6059112548828,337286,,,,15.11,Strong Bear,Uptrend,Hold,,,,,,,,,,48.4641,Neutral,,,,Neutral,-3.7109,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1637,Neutral,,,,,,,,,,,,,
2023-09-27,148.40672894570054,149.40274726077234,146.4146923155569,147.7593231201172,266907,,,,15.07,Strong Bear,Uptrend,Hold,,,,,,,,,,47.1062,Neutral,,,,Neutral,-0.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1973,Neutral,,,,,,,,,,,,,
2023-09-28,148.0083180677755,156.07605677605807,147.95851411565604,150.24935913085938,1206610,,,,19.65,Strong Bear,Uptrend,Hold,,,,,,,,,,51.4177,Neutral,,,,Neutral,-3.1461,,,,,,,,,,Lower Half,,,,,,,,,,,,,,,,,,42.8252,Neutral,,,,,,,,,,,,,
2023-09-29,150.8469579290605,153.386807455759,150.0501403052683,152.14178466796875,547688,,,,22.5,Bear,Uptrend,Hold,,,,,,,,,,54.4561,Neutral,,,,Neutral,-3.2616,,,,,,,,,,Lower Half,,,,,,,,,,,,,Dry-up,,Weak Up,-0.2638,Distribution,48.5332,Neutral,,,,,,,,,,,,,
2023-10-03,151.99238514500016,152.689594853402,149.70154021908115,150.89675903320312,408303,,,,10.97,Strong Bear,Uptrend,Hold,Range,,48.55,Neutral,Mixed,"Neutral - components mixed, low conviction",,,,52.1455,Neutral,,,,Neutral,-3.164,,,,,,,,,,Lower Half,,,,,Inside,,,,,,,,Dry-up,,Weak Down,-0.3654,Distribution,51.3471,Neutral,,,,,,,,,,,,,
