Date,Open,High,Low,Close,Volume,EMA_50,EMA_200,Below_EMA_200,EMA_score,EMA_trend,ST_state,ST_signal,MS_structure,MS_bias,Trend_score,Trend_band,Trend_agreement,Trend_description,RS_score,RS_state,RS_agreement,RSI_14,RSI_state,MACD,MACD_signal,MACD_state,Stoch_state,ROC_10,ROC_10_z,ROC_10_z_basis,ROC_score,ROC_state,Momentum_score,Momentum_band,Momentum_agreement,Momentum_divergence,Momentum_description,BB_state,ADX_regime,ADX_direction,ADX_rising,ATR_rising,DC_state,Volatility_score,Volatility_band,Volatility_trend,Volatility_change,Volatility_squeeze,Volatility_description,ATR_note,Vol_state,Vol_trend,Vol_price_confirm,CMF,CMF_state,MFI,MFI_state,Stage_name,Stage_substage,Stage_confidence,Stage_days,Prev_stage_name,Prev_stage_days,Final_decision,Final_score,Final_conviction,Final_blocker,Final_description,Final_description_5d_ago,Final_description_10d_ago
2024-06-06,241.0,253.0500030517578,240.1000061035156,253.0500030517578,2638400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-07,265.70001220703125,265.70001220703125,265.70001220703125,265.70001220703125,48800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,278.95001220703125,278.95001220703125,278.95001220703125,278.95001220703125,19200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-11,292.8500061035156,292.8500061035156,292.8500061035156,292.8500061035156,11200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-12,307.45001220703125,307.45001220703125,307.45001220703125,307.45001220703125,22400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13,322.79998779296875,322.79998779296875,322.79998779296875,322.79998779296875,56000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14,338.8999938964844,338.8999938964844,338.8999938964844,338.8999938964844,84800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18,355.79998779296875,355.79998779296875,355.79998779296875,355.79998779296875,634400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-19,373.5499877929688,373.5499877929688,373.5499877929688,373.5499877929688,13600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-20,392.2000122070313,392.2000122070313,392.2000122070313,392.2000122070313,6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-21,431.3999938964844,431.3999938964844,431.3999938964844,431.3999938964844,22400,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,70.4801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-24,474.5,474.5,454.5,474.5,582400,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,78.5849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-25,521.9500122070312,521.9500122070312,490.0,521.9500122070312,641600,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,87.1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-26,548.0,548.0,495.8500061035156,495.8500061035156,433600,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,69.3188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,471.0499877929688,520.5999755859375,471.0499877929688,519.7999877929688,741600,,,,100.0,Strong Bull,Uptrend,Hold,,,,,,,,,,91.6422,Overbought,,,,,69.0681,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.3373,Neutral,,,,,,,,,,,,,
2024-06-28,540.0,545.75,520.0,545.75,158400,,,,100.0,Strong Bull,Uptrend,Hold,,,,,,,,,,92.3769,Overbought,,,,,69.0675,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.458,Neutral,,,,,,,,,,,,,
2024-07-01,573.0,573.0,573.0,573.0,32800,,,,100.0,Strong Bull,Uptrend,Hold,,,,,,,,,,93.0661,Overbought,,,,Overbought,69.0764,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.6557,Neutral,,,,,,,,,,,,,
