Date,Open,High,Low,Close,Volume,EMA_50,EMA_200,Below_EMA_200,EMA_score,EMA_trend,ST_state,ST_signal,MS_structure,MS_bias,Trend_score,Trend_band,Trend_agreement,Trend_description,RS_score,RS_state,RS_agreement,RSI_14,RSI_state,MACD,MACD_signal,MACD_state,Stoch_state,ROC_10,ROC_10_z,ROC_10_z_basis,ROC_score,ROC_state,Momentum_score,Momentum_band,Momentum_agreement,Momentum_divergence,Momentum_description,BB_state,ADX_regime,ADX_direction,ADX_rising,ATR_rising,DC_state,Volatility_score,Volatility_band,Volatility_trend,Volatility_change,Volatility_squeeze,Volatility_description,ATR_note,Vol_state,Vol_trend,Vol_price_confirm,CMF,CMF_state,MFI,MFI_state,Stage_name,Stage_substage,Stage_confidence,Stage_days,Prev_stage_name,Prev_stage_days,Final_decision,Final_score,Final_conviction,Final_blocker,Final_description,Final_description_5d_ago,Final_description_10d_ago
2024-11-06,437.71875440637336,447.617179291805,427.7706008971376,440.951904296875,46731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07,438.71358147773503,448.6617352527404,432.7446892127318,437.4700622558594,35185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-08,430.7550641207026,440.554001789777,412.7488994793516,422.2991333007813,72913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-11,413.9924158443981,441.3995978802527,410.5105620015364,414.1416320800781,46768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-12,420.359227050375,467.563229017241,412.8981116937169,428.0193176269531,162255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-13,419.9115802986545,467.0658235002955,419.9115802986545,458.9083251953125,371900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-14,459.6047059445132,461.5943367061777,445.4285867676532,455.0783081054688,203724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18,447.7663789282097,456.5207415481557,429.3125366368695,450.4523620605469,79123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-19,457.5653403606542,485.4698992713404,457.5653403606542,470.44818115234375,189376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-21,469.5528537731914,484.67405951301953,448.7114596664229,465.8222961425781,103979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-22,461.0969363477416,482.4854673757382,458.9083303313667,479.8492126464844,69547,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,8.8212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-25,487.4595290589239,501.3869441748932,483.5797552056322,493.3786926269531,273745,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,12.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-26,493.3787124880868,496.0149672407189,471.8906936579982,474.1290283203125,69698,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,12.2733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27,477.4616393642983,477.5610966118117,457.6150609885527,459.2565002441406,62925,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,10.8936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-28,470.5476602886021,493.4284133258914,467.8616467013522,482.0875244140625,231863,,,,87.69,Strong Bull,Uptrend,Hold,,,,,,,,,,54.2587,Neutral,,,,,12.6322,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.3605,Neutral,,,,,,,,,,,,,
2024-11-29,492.03569383838254,492.03569383838254,469.9010515965611,472.9849853515625,48510,,,,81.92,Strong Bull,Uptrend,Hold,,,,,,,,,,50.8514,Neutral,,,,,3.0674,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0183,Neutral,,,,,,,,,,,,,
2024-12-02,476.7155436142587,477.95906284284416,453.1384068965362,459.3062744140625,364007,,,,75.26,Bull,Uptrend,Hold,,,,,,,,,,46.1602,Neutral,,,,Neutral,0.9291,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.1137,Neutral,,,,,,,,,,,,,
2024-12-03,465.5735981582797,477.31240750656224,459.7041934841384,473.0844421386719,96402,,,,76.5,Bull,Uptrend,Hold,,,,,,,,,,51.0579,Neutral,,,,Neutral,5.0243,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.7377,Neutral,,,,,,,,,,,,,
2024-12-04,471.59223560873113,486.9124172960441,458.70939419267256,477.1632080078125,74055,,,,83.39,Strong Bull,Uptrend,Hold,,,,,,,,,,52.4372,Neutral,,,,Neutral,1.4274,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.6731,Neutral,,,,,,,,,,,,,
2024-12-05,482.4854430933726,482.5849306999021,471.54247428094567,477.95904541015625,53836,,,,81.39,Strong Bull,Uptrend,Hold,,,,,,,,,,52.7173,Neutral,,,,Neutral,2.6054,,,,,,,,,,Upper Half,,,,,,,,,,,,,,,,,,62.6349,Neutral,,,,,,,,,,,,,
2024-12-06,482.73418009461307,492.4336303901772,470.64717887508925,477.2626953125,69216,,,,80.07,Strong Bull,Uptrend,Hold,,,,,,,,,,52.4264,Neutral,,,,Neutral,-0.539,,,,,,,,,,Upper Half,,,,,,,,,,,,,Normal,,Weak Down,-0.0013,Neutral,60.0186,Neutral,,,,,,,,,,,,,
2024-12-09,477.5113715460863,492.3838732827743,467.6129465963367,471.8409118652344,273357,,,,89.03,Strong Bull,Uptrend,Hold,,,,,,,,,,50.1085,Neutral,,,,Neutral,-4.3654,,,,,,,,,,Upper Half,,,,,Inside,,,,,,,,Normal,,Confirmed Down,-0.0581,Distribution,53.949,Neutral,,,,,,,,,,,,,
2024-12-10,472.6367768930903,502.38174966263045,463.5342225502819,496.2636413574219,293066,,,,95.78,Strong Bull,Uptrend,Hold,,,,,,,,,,58.9195,Neutral,,,,Neutral,4.6685,,,,,,,,,,Upper Half,,,,,Inside,,,,,,,,Normal,,Confirmed Up,0.0173,Neutral,56.4297,Neutral,,,,,,,,,,,,,
2024-12-11,500.9890483066785,521.7309557498679,480.545573343794,490.8419189453125,195270,,,,93.1,Strong Bull,Uptrend,Hold,,,,,,,,,,56.5327,Neutral,,,,Neutral,6.8775,,,,,,,,,,Upper Half,,,,,Inside,,,,,,,,Normal,,Confirmed Down,-0.0023,Neutral,63.1075,Neutral,,,,,,,,,,,,,
2024-12-12,487.9569447523246,490.9413908975988,478.6554148610156,486.4647216796875,69208,,,,91.14,Strong Bull,Uptrend,Hold,,,,,,,,,,54.6092,Neutral,,,,Neutral,0.908,,,,,,,,,,Upper Half,,,,No,Inside,,,,,,,,Dry-up,,Weak Down,0.0262,Neutral,59.9145,Neutral,,,,,,,,,,,,,
2024-12-13,489.44915392191024,492.4335999824097,475.5217389729128,486.01702880859375,77593,,,,90.57,Strong Bull,Uptrend,Hold,,,,,,,,,,54.4053,Neutral,,,,Neutral,2.7553,,,,,,,,,,Upper Half,,,,No,Inside,,,,,,,,Normal,,Weak Down,-0.0486,Neutral,51.8275,Neutral,,,,,,,,,,,,,
2024-12-16,486.017052468329,492.4336239545093,477.6606091640026,483.5797729492188,85779,,,,89.54,Strong Bull,Uptrend,Hold,,,,,,,,,,53.24,Neutral,12.894,,,Neutral,5.2848,,,,,,,,,,Upper Half,,,,No,Inside,,,,,,,,Normal,,Weak Down,-0.071,Distribution,51.3901,Neutral,,,,,,,,,,,,,
2024-12-17,487.3600533731624,508.8480718639207,479.9984255607854,503.277099609375,295348,,,,94.76,Strong Bull,Uptrend,Hold,,,85.62,Strong Bull,Bullish confirmed,"Range with bullish lean - ADX no trend, direction not confirmed",,,,60.5876,Neutral,13.8213,,,Neutral,6.3821,,,,,,,,,,Above Upper,No Trend,Bullish,,No,Inside,,,,,,,,Normal,,Confirmed Up,-0.02,Neutral,59.446,Neutral,,,,,,,,,,,,,
2024-12-18,507.3558472194816,520.7858549399972,501.4366835248451,517.2542724609375,306380,,,,97.46,Strong Bull,Uptrend,Hold,Range,Bullish,80.73,Strong Bull,Bullish confirmed,"Range with bullish lean - ADX no trend, direction not confirmed",,,,64.8129,Neutral,15.5054,,,Neutral,8.402,,,,,,,,,,Above Upper,No Trend,Bullish,,No,Near Upper,,,,,,,,Normal,,Confirmed Up,0.0479,Neutral,61.1015,Neutral,,,,,,,,,,,,,
2024-12-19,498.4522391816508,518.2490897367246,497.35796653977167,507.70404052734375,266405,,,,93.53,Strong Bull,Uptrend,Hold,Range,Bullish,80.32,Strong Bull,Bullish confirmed,"Range with bullish lean - ADX no trend, direction not confirmed",,,,60.0739,Neutral,15.8862,,,Overbought,6.2233,,,,,,,,,,Upper Half,No Trend,Bullish,,No,Inside,,,,,,,,Normal,,Confirmed Down,0.0463,Neutral,55.5375,Neutral,,,,,,,,,,,,,
2024-12-20,513.3247125633147,533.6686982960484,508.3506358911896,525.4117431640625,372230,,,,97.25,Strong Bull,Uptrend,Hold,Range,Bullish,82.86,Strong Bull,Bullish confirmed,"Range with bullish lean - ADX emerging, direction not confirmed",,,,65.1605,Neutral,17.4162,,,Overbought,10.0886,,,,,,,,,,Above Upper,Emerging,Bullish,,No,Breakout Up,,,,,,,,High,,Confirmed Up,0.0634,Accumulation,69.8764,Neutral,,,,,,,,,,,,,
2024-12-23,527.3516102933805,534.3651073191995,500.0439462429223,504.27191162109375,124176,,,,90.44,Strong Bull,Uptrend,Hold,Range,Bullish,81.16,Strong Bull,Bullish confirmed,"Range with bullish lean - ADX emerging, direction not confirmed",,,,55.9897,Neutral,16.73,,,Neutral,6.8733,,,,,,,,,,Upper Half,Emerging,Bullish,,No,Inside,,,,,,,,Normal,,Weak Down,0.0309,Neutral,65.3149,Neutral,,,,,,,,,,,,,
2024-12-24,504.32170445138087,516.7568975746583,497.6067001648111,512.1309814453125,67864,,,,92.22,Strong Bull,Uptrend,Hold,Range,Bullish,82.3,Strong Bull,Bullish confirmed,"Range with bullish lean - ADX emerging, direction not confirmed",,,,58.3373,Neutral,16.6287,,,Neutral,3.1974,,,,,,,,,,Upper Half,Emerging,Bullish,Yes,No,Inside,,,,,,,,Dry-up,,Weak Up,0.0577,Accumulation,62.5889,Neutral,,,,,,,,,,,,,
2024-12-26,514.9661827421215,527.5505603057788,498.7506745568176,525.2127685546875,125702,,,,95.09,Strong Bull,Uptrend,Hold,Range,Bullish,84.04,Strong Bull,Bullish confirmed,"Range with bullish lean - ADX emerging, direction not confirmed",,,,61.9734,Neutral,17.4033,,,Neutral,7.0024,,,,,,,,,,Upper Half,Emerging,Bullish,Yes,No,Inside,,,,,,,,Normal,,Weak Up,0.1019,Accumulation,63.7085,Neutral,,,,,,,,,,,,,
2024-12-27,527.2521653341337,543.7660767910758,508.4501602271085,514.2698364257812,226635,,,,91.18,Strong Bull,Uptrend,Hold,Range,Bullish,83.69,Strong Bull,Bullish confirmed,"Strong Bull - all 4 components agree, trending ADX",,,,57.4562,Neutral,16.939,,,Neutral,5.7158,,,,,,,,,,Upper Half,Trending,Bullish,Yes,No,Inside,,,,,,,,Normal,,Confirmed Down,0.0509,Accumulation,65.9168,Neutral,,,,,,,,,,,,,
2024-12-30,521.9796430519186,521.9796430519186,502.3817678837983,513.4241943359375,227343,,,,90.53,Strong Bull,Uptrend,Hold,Range,Bullish,84.09,Strong Bull,Bullish confirmed,"Strong Bull - all 4 components agree, trending ADX",,,,57.1097,Neutral,16.3147,15.9155,bullish,Neutral,5.6391,,,,,,,,,,Upper Half,Trending,Bullish,Yes,No,Inside,,,,,,,,Normal,,Confirmed Down,0.0659,Accumulation,66.58,Neutral,,,,,,,,,,,,,
2024-12-31,507.40555081972974,515.7620239433927,500.29262722747205,506.6097106933594,65502,,,,88.39,Strong Bull,Uptrend,Hold,Range,Bullish,83.81,Strong Bull,Bullish confirmed,"Strong Bull - all 4 components agree, trending ADX",,,,54.27,Neutral,15.0961,15.7516,Bearish crossover,Neutral,4.7624,,,,,,,,,,Upper Half,Trending,Bullish,Yes,No,Inside,,,,,,,,Dry-up,,Weak Down,0.1226,Accumulation,61.1006,Neutral,,,,,,,,,,,,,
2025-01-01,510.58895714658775,522.2780370228126,505.3661767763596,515.7122802734375,39495,,,,90.76,Strong Bull,Uptrend,Hold,Range,Bullish,85.22,Strong Bull,Bullish confirmed,"Strong Bull - all 4 components agree, trending ADX",,,,57.3227,Neutral,14.6954,15.5404,bullish accelerating,Neutral,2.4708,,,,,,,,,,Upper Half,Trending,Bullish,Yes,No,Inside,,,,,,,,Dry-up,,Weak Up,0.1122,Accumulation,58.6053,Neutral,,,,,,,,,,,,,
