Date,Open,High,Low,Close,Volume,EMA_50,EMA_200,Below_EMA_200,EMA_score,EMA_trend,ST_state,ST_signal,MS_structure,MS_bias,Trend_score,Trend_band,Trend_agreement,Trend_description,RS_score,RS_state,RS_agreement,RSI_14,RSI_state,MACD,MACD_signal,MACD_state,Stoch_state,ROC_10,ROC_10_z,ROC_10_z_basis,ROC_score,ROC_state,Momentum_score,Momentum_band,Momentum_agreement,Momentum_divergence,Momentum_description,BB_state,ADX_regime,ADX_direction,ADX_rising,ATR_rising,DC_state,Volatility_score,Volatility_band,Volatility_trend,Volatility_change,Volatility_squeeze,Volatility_description,ATR_note,Vol_state,Vol_trend,Vol_price_confirm,CMF,CMF_state,MFI,MFI_state,Stage_name,Stage_substage,Stage_confidence,Stage_days,Prev_stage_name,Prev_stage_days,Final_decision,Final_score,Final_conviction,Final_blocker,Final_description,Final_description_5d_ago,Final_description_10d_ago
2024-12-19,1900.0,2031.0,1852.0999755859373,1960.8499755859373,16494444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-20,2095.0,2148.0,1862.8499755859373,1885.800048828125,3776155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-23,1911.0,1937.699951171875,1820.0,1895.800048828125,1352484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-24,1899.75,1997.800048828125,1891.5,1921.949951171875,1102995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-26,1928.75,2189.0,1910.699951171875,2145.699951171875,3959964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-27,2150.0,2180.0,1971.6500244140625,2005.5999755859373,1535790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-30,2000.0,2025.0,1900.0,1910.8499755859373,645421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,1914.0,1957.9000244140625,1889.300048828125,1919.5,389435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,1928.0,1974.9000244140625,1915.25,1943.25,373589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02,1943.0,1951.25,1891.75,1936.3499755859373,424457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-03,1933.300048828125,1967.199951171875,1910.5,1939.0999755859373,441187,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-1.1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-06,1948.0,1948.0,1860.0,1867.3499755859373,408946,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-0.9784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-07,1878.3499755859373,1983.8499755859373,1871.050048828125,1973.949951171875,534478,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,4.1223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-08,1979.9000244140625,1980.949951171875,1921.8499755859373,1946.949951171875,215148,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,1.3008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-09,1947.0,1970.0,1924.9000244140625,1954.050048828125,200486,,,,41.62,Neutral,Uptrend,Hold,,,,,,,,,,28.4676,Oversold,,,,,-8.9318,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.2697,Neutral,,,,,,,,,,,,,
2025-01-10,1958.0,1978.0,1889.75,1914.3499755859373,258233,,,,31.61,Bear,Uptrend,Hold,,,,,,,,,,27.1138,Oversold,,,,,-4.5498,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.8532,Neutral,,,,,,,,,,,,,
2025-01-13,1886.0,1920.0,1855.1500244140625,1867.6500244140625,385912,,,,30.2,Bear,Uptrend,Hold,,,,,,,,,,25.5731,Oversold,,,,Neutral,-2.2608,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.6111,Neutral,,,,,,,,,,,,,
