Date,Open,High,Low,Close,Volume,EMA_50,EMA_200,Below_EMA_200,EMA_score,EMA_trend,ST_state,ST_signal,MS_structure,MS_bias,Trend_score,Trend_band,Trend_agreement,Trend_description,RS_score,RS_state,RS_agreement,RSI_14,RSI_state,MACD,MACD_signal,MACD_state,Stoch_state,ROC_10,ROC_10_z,ROC_10_z_basis,ROC_score,ROC_state,Momentum_score,Momentum_band,Momentum_agreement,Momentum_divergence,Momentum_description,BB_state,ADX_regime,ADX_direction,ADX_rising,ATR_rising,DC_state,Volatility_score,Volatility_band,Volatility_trend,Volatility_change,Volatility_squeeze,Volatility_description,ATR_note,Vol_state,Vol_trend,Vol_price_confirm,CMF,CMF_state,MFI,MFI_state,Stage_name,Stage_substage,Stage_confidence,Stage_days,Prev_stage_name,Prev_stage_days,Final_decision,Final_score,Final_conviction,Final_blocker,Final_description,Final_description_5d_ago,Final_description_10d_ago
2022-11-22,778.0,786.0,675.0999755859375,689.9500122070312,15636034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-23,702.0,719.7000122070312,690.5,715.5999755859375,2346053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-24,716.0,739.7999877929688,705.0999755859375,730.0999755859375,1689717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-25,724.8499755859375,767.9000244140625,722.0,745.1500244140625,1915106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-28,745.0,764.0,734.5499877929688,749.9000244140625,759905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-29,753.7000122070312,754.75,731.1500244140625,733.9500122070312,462934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-30,735.0,738.0,722.1500244140625,725.1500244140625,347873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,728.25,745.25,728.25,739.4500122070312,279131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-02,738.9500122070312,747.9500122070312,724.0,740.2000122070312,328645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-05,740.2000122070312,751.0,734.9500122070312,741.9500122070312,238342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-06,735.0,744.9500122070312,729.0,739.9000244140625,155237,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,7.2397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-07,735.0,796.75,735.0,759.5499877929688,1160261,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,6.1417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-08,759.9500122070312,772.0,741.0,746.1500244140625,212406,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,2.1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-09,749.9000244140625,763.0,724.9500122070312,727.1500244140625,299354,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-2.4156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-12,728.6500244140625,735.9000244140625,715.25,730.7999877929688,171216,,,,64.09,Bull,Uptrend,Hold,,,,,,,,,,80.5691,Overbought,,,,,-2.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.9977,Neutral,,,,,,,,,,,,,
2022-12-13,733.7999877929688,735.4500122070312,724.0,726.0,144431,,,,48.83,Neutral,Uptrend,Hold,,,,,,,,,,78.7617,Overbought,,,,,-1.0832,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.9109,Neutral,,,,,,,,,,,,,
2022-12-14,729.5999755859375,738.0,726.0,734.8499755859375,141865,,,,32.07,Bear,Uptrend,Hold,,,,,,,,,,79.6674,Overbought,,,,Neutral,1.3376,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4364,Neutral,,,,,,,,,,,,,
2022-12-15,730.0,734.9500122070312,718.25,721.9500122070312,90870,,,,17.29,Strong Bear,Uptrend,Hold,,,,,,,,,,74.6693,Overbought,,,,Oversold,-2.3666,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3286,Neutral,,,,,,,,,,,,,
2022-12-16,715.0,724.4500122070312,701.0999755859375,705.25,91513,,,,13.19,Strong Bear,Uptrend,Hold,,,,,,,,,,68.6635,Neutral,,,,Oversold,-4.7217,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1911,Neutral,,,,,,,,,,,,,
2022-12-19,708.5,709.0,691.2000122070312,694.25,145490,,,,11.48,Strong Bear,Uptrend,Hold,,,,,,,,,,64.9575,Neutral,,,,Oversold,-6.429,,,,,,,,,,At Lower,,,,,,,,,,,,,,,,,,52.2996,Neutral,,,,,,,,,,,,,
2022-12-20,693.9500122070312,709.0,688.5499877929688,700.5999755859375,159281,,,,15.16,Strong Bear,Uptrend,Hold,,,,,,,,,,66.0951,Neutral,,,,Oversold,-5.3115,,,,,,,,,,Lower Half,,,,,,,,,,,,,Dry-up,,Weak Up,0.1241,Accumulation,59.2157,Neutral,,,,,,,,,,,,,
2022-12-21,701.0,722.6500244140625,696.5499877929688,703.1500244140625,237160,,,,8.98,Strong Bear,Uptrend,Hold,,,,,,,,,,66.5646,Neutral,,,,Oversold,-7.4254,,,,,,,,,,Lower Half,,,,,Inside,,,,,,,,Normal,,Weak Up,-0.0468,Neutral,58.6282,Neutral,,,,,,,,,,,,,
2022-12-22,705.0,707.0,667.25,702.25,200700,,,,9.26,Strong Bear,Uptrend,Hold,,,,,,,,,,66.2161,Neutral,,,,Oversold,-5.8835,,,,,,,,,,Lower Half,,,,,Inside,,,,,,,,Normal,,Weak Down,-0.1345,Distribution,61.0126,Neutral,,,,,,,,,,,,,
2022-12-23,690.0,697.0,672.9500122070312,680.25,177531,,,,5.55,Strong Bear,Uptrend,Hold,,,,,,,,,,58.196,Neutral,,,,Oversold,-6.4498,,,,,,,,,,Below Lower,,,,,Inside,,,,,,,,Normal,,Weak Down,-0.1897,Distribution,55.2621,Neutral,,,,,,,,,,,,,
2022-12-26,670.5,713.5999755859375,666.7999877929688,703.8499755859375,133235,,,,10.9,Strong Bear,Uptrend,Hold,,,,,,,,,,63.3274,Neutral,,,,Neutral,-3.6877,,,,,,,,,,Lower Half,,,,No,Inside,,,,,,,,Normal,,Weak Up,-0.2039,Distribution,59.5098,Neutral,,,,,,,,,,,,,
2022-12-27,705.0,724.9500122070312,704.9500122070312,721.7000122070312,123539,,,,14.39,Strong Bear,Uptrend,Hold,,,,,,,,,,66.6607,Neutral,,,,Neutral,-0.5923,,,,,,,,,,Lower Half,,,,No,Inside,,,,,,,,Normal,,Weak Up,-0.128,Distribution,40.1462,Neutral,,,,,,,,,,,,,
2022-12-28,720.0,745.5,712.4000244140625,737.75,196026,,,,35.81,Bear,Uptrend,Hold,,,,,,,,,,69.3577,Neutral,-9.9215,,,Neutral,0.3946,,,,,,,,,,Upper Half,,,,No,Inside,,,,,,,,Normal,,Weak Up,-0.0638,Distribution,49.2353,Neutral,,,,,,,,,,,,,
2022-12-29,729.9500122070312,756.0,724.6500244140625,747.4500122070312,172325,,,,53.05,Neutral,Uptrend,Hold,,,73.7,Bull,Bullish confirmed,"Range with bullish lean - ADX emerging, direction not confirmed",,,,70.8904,Overbought,-6.5633,,,Neutral,3.5321,,,,,,,,,,Upper Half,Emerging,Bullish,,No,Inside,,,,,,,,Normal,,Weak Up,-0.0675,Distribution,60.3889,Neutral,,,,,,,,,,,,,
2022-12-30,750.0,754.0,736.25,750.9500122070312,130907,,,,92.82,Strong Bull,Uptrend,Hold,,,91.09,Strong Bull,Bullish confirmed,"Range with bullish lean - ADX emerging, direction not confirmed",,,,71.4454,Overbought,-3.5781,,,Overbought,6.48,,,,,,,,,,Upper Half,Emerging,Bullish,,No,Inside,,,,,,,,Normal,,Weak Up,-0.0774,Distribution,67.8287,Neutral,,,,,,,,,,,,,
