Date,Open,High,Low,Close,Volume,EMA_50,EMA_200,Below_EMA_200,EMA_score,EMA_trend,ST_state,ST_signal,MS_structure,MS_bias,Trend_score,Trend_band,Trend_agreement,Trend_description,RS_score,RS_state,RS_agreement,RSI_14,RSI_state,MACD,MACD_signal,MACD_state,Stoch_state,ROC_10,ROC_10_z,ROC_10_z_basis,ROC_score,ROC_state,Momentum_score,Momentum_band,Momentum_agreement,Momentum_divergence,Momentum_description,BB_state,ADX_regime,ADX_direction,ADX_rising,ATR_rising,DC_state,Volatility_score,Volatility_band,Volatility_trend,Volatility_change,Volatility_squeeze,Volatility_description,ATR_note,Vol_state,Vol_trend,Vol_price_confirm,CMF,CMF_state,MFI,MFI_state,Stage_name,Stage_substage,Stage_confidence,Stage_days,Prev_stage_name,Prev_stage_days,Final_decision,Final_score,Final_conviction,Final_blocker,Final_description,Final_description_5d_ago,Final_description_10d_ago
2024-12-06,1197.5,1224.5,1143.0250244140625,1169.050048828125,101716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-09,1179.375,1184.9749755859375,1125.0,1133.9000244140625,56712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-10,1133.925048828125,1180.0,1106.449951171875,1148.300048828125,35982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-11,1161.125,1178.699951171875,1120.0,1138.925048828125,43388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-12,1149.5,1166.675048828125,1120.0,1126.449951171875,23098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-13,1117.5,1134.9749755859375,1081.300048828125,1125.324951171875,20354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-16,1137.5,1170.0,1107.675048828125,1122.2750244140625,31146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-17,1122.5,1134.699951171875,1100.5,1113.675048828125,21164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-18,1117.5,1121.5,1073.5,1100.8499755859375,18410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-19,1075.0,1091.9749755859375,1051.0,1068.0,21800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-20,1134.5,1134.5,1080.0,1093.800048828125,41550,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-6.4369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-23,1115.0,1134.550048828125,1075.0,1081.550048828125,10944,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-4.6168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-24,1081.574951171875,1149.9749755859375,1081.574951171875,1101.074951171875,63784,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-4.1126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-26,1117.5,1173.449951171875,1100.25,1164.25,105466,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,2.2236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-27,1165.0,1212.5,1138.9749755859375,1170.5999755859375,162090,,,,85.31,Strong Bull,Uptrend,Hold,,,,,,,,,,30.304,Neutral,,,,,3.9194,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6281,Neutral,,,,,,,,,,,,,
2024-12-30,1176.4749755859375,1187.9749755859375,1130.0,1153.9749755859375,34178,,,,83.91,Strong Bull,Uptrend,Hold,,,,,,,,,,28.8409,Oversold,,,,,2.5459,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0574,Neutral,,,,,,,,,,,,,
2024-12-31,1162.0,1162.0,1119.050048828125,1129.550048828125,16336,,,,78.47,Bull,Uptrend,Hold,,,,,,,,,,26.794,Oversold,,,,Neutral,0.6482,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.3569,Neutral,,,,,,,,,,,,,
2025-01-01,1145.0,1148.9749755859375,1092.625,1109.9000244140625,28094,,,,74.98,Bull,Uptrend,Hold,,,,,,,,,,25.242,Oversold,,,,Neutral,-0.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0293,Neutral,,,,,,,,,,,,,
2025-01-02,1121.0,1150.0,1114.9749755859375,1131.199951171875,25502,,,,79.59,Bull,Uptrend,Hold,,,,,,,,,,29.9769,Oversold,,,,Neutral,2.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.9959,Neutral,,,,,,,,,,,,,
2025-01-03,1130.0,1143.25,1099.550048828125,1108.449951171875,29624,,,,37.11,Bear,Uptrend,Hold,,,,,,,,,,27.9413,Oversold,,,,Neutral,3.7874,,,,,,,,,,Lower Half,,,,,,,,,,,,,,,,,,70.9145,Neutral,,,,,,,,,,,,,
2025-01-06,1109.9749755859375,1110.0,1043.7750244140625,1078.2750244140625,24240,,,,12.18,Strong Bear,Uptrend,Hold,,,,,,,,,,25.4707,Oversold,,,,Neutral,-1.4194,,,,,,,,,,Lower Half,,,,,,,,,,,,,Normal,,Weak Down,-0.1478,Distribution,66.7098,Neutral,,,,,,,,,,,,,
2025-01-07,1080.0,1112.5,1062.4749755859375,1083.2750244140625,12920,,,,8.26,Strong Bear,Uptrend,Hold,,,,,,,,,,26.6284,Oversold,,,,Neutral,0.1595,,,,,,,,,,Lower Half,,,,,Inside,,,,,,,,Dry-up,,Weak Up,-0.1072,Distribution,69.7367,Neutral,,,,,,,,,,,,,
2025-01-08,1085.0,1095.5250244140625,1057.5,1074.574951171875,10042,,,,7.8,Strong Bear,Uptrend,Hold,,,,,,,,,,25.8753,Oversold,,,,Neutral,-2.4067,,,,,,,,,,Lower Half,,,,,Inside,,,,,,,,Dry-up,,Weak Down,-0.119,Distribution,70.7238,Neutral,,,,,,,,,,,,,
2025-01-09,1070.4000244140625,1102.449951171875,1054.0250244140625,1083.25,10186,,,,9.49,Strong Bear,Uptrend,Hold,,,,,,,,,,28.0602,Oversold,,,,Neutral,-6.9573,,,,,,,,,,Lower Half,,,,,Inside,,,,,,,,Dry-up,,Weak Up,-0.0999,Distribution,73.7428,Neutral,,,,,,,,,,,,,
2025-01-10,1078.675048828125,1078.675048828125,988.5250244140624,1007.875,51734,,,,1.1,Strong Bear,Uptrend,Hold,,,,,,,,,,21.994,Oversold,,,,Oversold,-13.901,,,,,,,,,,Below Lower,,,,Yes,Breakout Down,,,,,,,,Normal,,Confirmed Down,-0.1134,Distribution,66.0006,Neutral,,,,,,,,,,,,,
2025-01-13,1007.875,1027.074951171875,911.5750122070312,935.5499877929688,28724,,,,0.0,Strong Bear,Downtrend,Sell,,,,,,,,,,17.9778,Oversold,,,,Oversold,-18.9281,,,,,,,,,,Below Lower,,,,Yes,Breakout Down,,,,,,,,Normal,,Weak Down,-0.152,Distribution,64.4859,Neutral,,,,,,,,,,,,,
2025-01-14,933.5250244140624,971.9749755859376,933.5250244140624,961.2750244140624,25636,,,,0.87,Strong Bear,Downtrend,Hold,,,,,,,,,,23.3398,Oversold,-45.7143,,,Oversold,-14.8975,,,,,,,,,,Below Lower,,,,Yes,Inside,,,,,,,,Normal,,Weak Up,-0.1155,Distribution,57.9803,Neutral,,,,,,,,,,,,,
2025-01-15,979.7000122070312,1042.3499755859375,937.5750122070312,966.3499755859376,85952,,,,2.31,Strong Bear,Downtrend,Hold,,,1.01,Strong Bear,Bearish confirmed,"Strong Bear - all 3 components agree, trending ADX",,,,24.39,Oversold,-48.9603,,,Oversold,-12.9336,,,,,,,,,,Lower Half,Trending,Bearish,,Yes,Inside,,,,,,,,High,,Confirmed Up,-0.1482,Distribution,55.3983,Neutral,,,,,,,,,,,,,
2025-01-16,971.2000122070312,999.5499877929688,959.7249755859376,992.4000244140624,10748,,,,6.13,Strong Bear,Downtrend,Hold,,,2.68,Strong Bear,Bearish confirmed,"Strong Bear - all 3 components agree, trending ADX",,,,29.7124,Oversold,-48.8675,,,Neutral,-12.2701,,,,,,,,,,Lower Half,Trending,Bearish,,Yes,Inside,,,,,,,,Dry-up,,Weak Up,-0.1442,Distribution,36.0107,Neutral,,,,,,,,,,,,,
2025-01-17,989.0250244140624,998.25,975.2999877929688,985.5,4516,,,,5.98,Strong Bear,Downtrend,Hold,,,2.62,Strong Bear,Bearish confirmed,"Strong Bear - all 3 components agree, trending ADX",,,,29.1275,Oversold,-48.7883,,,Neutral,-11.0921,,,,,,,,,,Lower Half,Trending,Bearish,,Yes,Inside,,,,,,,,Dry-up,,Weak Down,-0.1433,Distribution,40.5287,Neutral,,,,,,,,,,,,,
2025-01-20,1000.2750244140624,1000.2750244140624,962.5,979.1500244140624,4976,,,,5.92,Strong Bear,Downtrend,Hold,Range,Bearish,12.07,Strong Bear,Bearish confirmed,"Strong Bear - all 4 components agree, trending ADX",,,,28.5701,Oversold,-48.6769,,,Neutral,-9.1929,,,,,,,,,,Lower Half,Trending,Bearish,,Yes,Inside,,,,,,,,Dry-up,,Weak Down,-0.1236,Distribution,42.0505,Neutral,,,,,,,,,,,,,
2025-01-21,979.1749877929688,1027.949951171875,962.5,972.5,19338,,,,5.83,Strong Bear,Downtrend,Hold,Range,Bearish,12.04,Strong Bear,Bearish confirmed,"Strong Bear - all 4 components agree, trending ADX",,,,27.9666,Oversold,-48.5653,,,Neutral,-10.2259,,,,,,,,,,Lower Half,Trending,Bearish,,Yes,Inside,,,,,,,,Normal,,Weak Down,-0.1287,Distribution,48.9367,Neutral,,,,,,,,,,,,,
2025-01-22,972.5,1010.0,966.4249877929688,996.875,55532,,,,9.84,Strong Bear,Downtrend,Hold,Range,Bearish,13.44,Strong Bear,Bearish confirmed,"Strong Bear - all 4 components agree, trending ADX",,,,33.511,Neutral,-45.98,,,Neutral,-7.2308,,,,,,,,,,Lower Half,Trending,Bearish,No,Yes,Inside,,,,,,,,Normal,,Confirmed Up,-0.0638,Distribution,52.4666,Neutral,,,,,,,,,,,,,
2025-01-23,992.8250122070312,1070.0,987.5,1055.625,62892,,,,21.5,Bear,Downtrend,Hold,Range,Bearish,17.52,Strong Bear,Bearish confirmed,"Strong Bear - all 4 components agree, trending ADX",,,,44.5827,Neutral,-38.7438,,,Neutral,-2.5502,,,,,,,,,,Upper Half,Trending,Bearish,No,Yes,Inside,,,,,,,,Normal,,Confirmed Up,-0.1217,Distribution,64.247,Neutral,,,,,,,,,,,,,
2025-01-24,1055.5,1063.9749755859375,990.5999755859376,1030.1500244140625,13256,,,,26.33,Bear,Downtrend,Hold,Range,Bearish,20.17,Strong Bear,Bearish confirmed,"Strong Bear - all 4 components agree, trending ADX",,,,41.3661,Neutral,-34.6652,,,Neutral,2.2101,,,,,,,,,,Lower Half,Trending,Bearish,No,Yes,Inside,,,,,,,,Dry-up,,Weak Down,-0.1116,Distribution,66.2612,Neutral,,,,,,,,,,,,,
2025-01-27,1020.0,1020.0,913.5250244140624,931.4000244140624,33468,,,,4.7,Strong Bear,Downtrend,Hold,Range,Bearish,12.94,Strong Bear,Bearish confirmed,"Strong Bear - all 4 components agree, trending ADX",,,,31.7909,Neutral,-38.9521,-42.8256,bearish,Neutral,-0.4436,,,,,,,,,,Lower Half,Trending,Bearish,No,Yes,Inside,,,,,,,,Normal,,Confirmed Down,-0.1412,Distribution,60.0347,Neutral,,,,,,,,,,,,,
