Date,Open,High,Low,Close,Volume,EMA_50,EMA_200,Below_EMA_200,EMA_score,EMA_trend,ST_state,ST_signal,MS_structure,MS_bias,Trend_score,Trend_band,Trend_agreement,Trend_description,RS_score,RS_state,RS_agreement,RSI_14,RSI_state,MACD,MACD_signal,MACD_state,Stoch_state,ROC_10,ROC_10_z,ROC_10_z_basis,ROC_score,ROC_state,Momentum_score,Momentum_band,Momentum_agreement,Momentum_divergence,Momentum_description,BB_state,ADX_regime,ADX_direction,ADX_rising,ATR_rising,DC_state,Volatility_score,Volatility_band,Volatility_trend,Volatility_change,Volatility_squeeze,Volatility_description,ATR_note,Vol_state,Vol_trend,Vol_price_confirm,CMF,CMF_state,MFI,MFI_state,Stage_name,Stage_substage,Stage_confidence,Stage_days,Prev_stage_name,Prev_stage_days,Final_decision,Final_score,Final_conviction,Final_blocker,Final_description,Final_description_5d_ago,Final_description_10d_ago
2023-07-17,552.5271658460564,581.1508777675333,549.0364707549712,561.8024291992188,417232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-18,572.3743112341343,572.3743112341343,529.5883365323621,542.8529663085938,284708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-19,563.1987617434255,570.4793425772627,539.8110912061949,564.74462890625,208966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-20,571.1774426599104,571.1774426599104,555.5191702118565,562.5504150390625,108284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-21,562.9992286760134,562.9992286760134,548.5876330570275,557.2146606445312,189224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24,565.4926035066509,578.4580423877557,558.5610682379435,573.571044921875,6245467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-25,576.4633773153068,583.1455774276235,559.2592367293396,573.3716430664062,1710743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-26,570.4793634240372,578.1589054908633,570.4793634240372,572.9727172851562,439499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-27,578.4580684764607,578.4580684764607,572.4740194922215,573.9700317382812,374132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-28,576.4633925074721,597.4075642075707,571.4766849598296,595.3131713867188,553490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-31,598.1555323147708,630.5192744161757,597.906196953239,627.3776245117188,716078,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,11.6723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-01,634.309219419133,650.2666840586081,611.220738419734,645.8783569335938,758470,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,18.9785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02,646.9754171671461,648.2719488903484,598.1056856354121,619.8477172851562,647800,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,9.7572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-03,626.330414333085,638.0990309628547,607.3809272752368,633.7606201171875,385344,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,12.6585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-04,641.6895288140952,644.4322178679942,630.070476291148,639.7945556640625,195597,,,,90.42,Strong Bull,Uptrend,Hold,,,,,,,,,,41.4712,Neutral,,,,,14.8201,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.1015,Overbought,,,,,,,,,,,,,
2023-08-07,643.1355604736982,681.1841582290587,633.1122918427088,649.8676147460938,805742,,,,91.44,Strong Bull,Uptrend,Hold,,,,,,,,,,44.2467,Neutral,,,,,13.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.515,Overbought,,,,,,,,,,,,,
