Date,Open,High,Low,Close,Volume,EMA_50,EMA_200,Below_EMA_200,EMA_score,EMA_trend,ST_state,ST_signal,MS_structure,MS_bias,Trend_score,Trend_band,Trend_agreement,Trend_description,RS_score,RS_state,RS_agreement,RSI_14,RSI_state,MACD,MACD_signal,MACD_state,Stoch_state,ROC_10,ROC_10_z,ROC_10_z_basis,ROC_score,ROC_state,Momentum_score,Momentum_band,Momentum_agreement,Momentum_divergence,Momentum_description,BB_state,ADX_regime,ADX_direction,ADX_rising,ATR_rising,DC_state,Volatility_score,Volatility_band,Volatility_trend,Volatility_change,Volatility_squeeze,Volatility_description,ATR_note,Vol_state,Vol_trend,Vol_price_confirm,CMF,CMF_state,MFI,MFI_state,Stage_name,Stage_substage,Stage_confidence,Stage_days,Prev_stage_name,Prev_stage_days,Final_decision,Final_score,Final_conviction,Final_blocker,Final_description,Final_description_5d_ago,Final_description_10d_ago
2021-07-27,1451.3565791717454,1484.8037257239916,1427.2446566100298,1434.8326416015625,178076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-28,1442.5204822468577,1452.7543100730838,1402.783228863206,1415.3134765625,183030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-29,1415.7627418565205,1442.7201424419409,1407.875181754132,1414.0155029296875,115318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-30,1421.70338762775,1461.490613849122,1412.268345628616,1440.8731689453125,137919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-02,1458.0459848834948,1467.6807844768637,1417.7596693586029,1426.1962890625,123889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-03,1436.529997576481,1437.278814272074,1411.0202600621965,1420.0560302734375,114710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-04,1431.7375458999534,1492.6413048259626,1420.355507561188,1454.6014404296875,333408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05,1467.181481107843,1472.9723788486706,1420.2556358461425,1427.993408203125,143219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,1428.69231040046,1465.6839045630331,1359.8511430618876,1375.5762939453125,395017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-09,1332.8937311319212,1362.5468238150047,1232.0530818103302,1241.3883056640625,839773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-10,1250.823404963253,1295.8522226735731,1223.0672185184435,1263.0540771484375,318684,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-11.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-11,1258.0120987152616,1272.7388276486347,1192.7652257487089,1251.2227783203125,228636,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-11.5939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-12,1257.7124598394937,1324.9063260297687,1255.2663740775636,1311.976806640625,323719,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-7.2162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,1321.911111494283,1344.824854290622,1303.989480146185,1328.85009765625,195477,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-7.7747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-16,1328.9000914914463,1332.8937807220743,1288.963199185167,1292.5574951171875,124915,,,,14.44,Strong Bear,Uptrend,Hold,,,,,,,,,,27.5496,Oversold,,,,,-9.3703,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3356,Neutral,,,,,,,,,,,,,
2021-08-17,1285.9679261350902,1297.9489937698893,1269.9931692886917,1278.030517578125,116657,,,,13.38,Strong Bear,Uptrend,Hold,,,,,,,,,,26.5555,Oversold,,,,,-10.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.005,Neutral,,,,,,,,,,,,,
2021-08-18,1278.9789285724655,1293.955262630691,1250.873317280985,1259.31005859375,127886,,,,11.83,Strong Bear,Uptrend,Hold,,,,,,,,,,25.2892,Oversold,,,,Neutral,-13.4258,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0159,Neutral,,,,,,,,,,,,,
2021-08-20,1243.035743959677,1292.8570403220383,1228.2091974132925,1232.9017333984375,125701,,,,9.28,Strong Bear,Uptrend,Hold,,,,,,,,,,23.5809,Oversold,,,,Neutral,-13.6619,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0117,Neutral,,,,,,,,,,,,,
2021-08-23,1244.8827133112777,1256.0151453743588,1156.1729239614526,1174.2943115234375,191304,,,,1.79,Strong Bear,Uptrend,Hold,,,,,,,,,,20.3031,Oversold,,,,Oversold,-14.6326,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7425,Neutral,,,,,,,,,,,,,
2021-08-24,1177.0899135287125,1205.5449488779425,1161.5645199998885,1188.7215576171875,130112,,,,7.81,Strong Bear,Uptrend,Hold,,,,,,,,,,23.1356,Oversold,,,,Oversold,-4.2426,,,,,,,,,,Lower Half,,,,,,,,,,,,,,,,,,24.7899,Neutral,,,,,,,,,,,,,
2021-08-25,1198.1067098723254,1245.531767138105,1193.6138097103042,1231.1046142578125,155417,,,,17.46,Strong Bear,Uptrend,Hold,,,,,,,,,,30.9046,Neutral,,,,Oversold,-2.5295,,,,,,,,,,Lower Half,,,,,,,,,,,,,Normal,,Weak Up,-0.3064,Distribution,19.7458,Oversold,,,,,,,,,,,,,
2021-08-26,1238.9421674211926,1272.988341029256,1219.2731763978773,1264.4517822265625,159827,,,,10.33,Strong Bear,Uptrend,Hold,,,,,,,,,,36.3553,Neutral,,,,Neutral,1.0573,,,,,,,,,,Lower Half,,,,,Inside,,,,,,,,Normal,,Weak Up,-0.2625,Distribution,24.3259,Neutral,,,,,,,,,,,,,
