Date,Open,High,Low,Close,Volume,EMA_50,EMA_200,Below_EMA_200,EMA_score,EMA_trend,ST_state,ST_signal,MS_structure,MS_bias,Trend_score,Trend_band,Trend_agreement,Trend_description,RS_score,RS_state,RS_agreement,RSI_14,RSI_state,MACD,MACD_signal,MACD_state,Stoch_state,ROC_10,ROC_10_z,ROC_10_z_basis,ROC_score,ROC_state,Momentum_score,Momentum_band,Momentum_agreement,Momentum_divergence,Momentum_description,BB_state,ADX_regime,ADX_direction,ADX_rising,ATR_rising,DC_state,Volatility_score,Volatility_band,Volatility_trend,Volatility_change,Volatility_squeeze,Volatility_description,ATR_note,Vol_state,Vol_trend,Vol_price_confirm,CMF,CMF_state,MFI,MFI_state,Stage_name,Stage_substage,Stage_confidence,Stage_days,Prev_stage_name,Prev_stage_days,Final_decision,Final_score,Final_conviction,Final_blocker,Final_description,Final_description_5d_ago,Final_description_10d_ago
2023-07-27,945.0194638721362,950.0090069760016,874.2178350467822,908.4960327148438,17045692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-28,914.8825821301948,932.2960991881567,883.3486950836756,896.5709838867188,1687691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-31,898.1177497877137,898.1177497877137,855.2076795200785,873.7188720703125,752821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-01,877.1616620818436,897.0699508942129,870.3260125139471,879.3071899414062,432785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02,879.5566982737581,886.1428709243814,848.0726320053357,854.8584594726562,389813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-03,843.8814651197218,909.6436078998394,843.2328001412247,888.4380493164062,670122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-04,896.9202519897058,903.1072975911692,883.1491252687123,890.9328002929688,491660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-07,891.9307589469411,898.0180383912954,878.159631453379,886.093017578125,225091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-08,884.2468535145115,887.1408130381582,852.6630804609784,856.8543090820312,168235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-09,859.1992994692616,865.0869845371061,848.0227110345016,850.2680053710938,181125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10,848.2722378453886,868.1306443924234,838.2432680696292,858.999755859375,197721,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-5.4482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-11,863.1910146719827,880.9537771276608,854.908384747384,869.178466796875,254524,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-3.0553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-14,809.3038898124262,877.161675887944,809.3038898124262,847.4240112304688,352837,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-3.0095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-16,847.4240230115755,854.4592666901208,821.5781650634341,824.4222412109375,175004,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-6.2418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-17,828.2641337063714,834.8004228209865,809.3038704046592,821.3785400390625,137513,,,,11.8,Strong Bear,Uptrend,Hold,,,,,,,,,,18.8233,Oversold,,,,,-3.9164,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.475,Neutral,,,,,,,,,,,,,
2023-08-18,823.2746448077284,831.208030839196,808.3558981536497,813.3953247070312,302005,,,,11.57,Strong Bear,Uptrend,Hold,,,,,,,,,,18.0077,Oversold,,,,,-8.4466,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9157,Neutral,,,,,,,,,,,,,
2023-08-21,814.7425271580335,822.1769587609025,781.0631103162698,794.6346435546875,306496,,,,8.65,Strong Bear,Uptrend,Hold,,,,,,,,,,16.2281,Oversold,,,,Oversold,-10.8087,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8512,Neutral,,,,,,,,,,,,,
2023-08-22,798.2271385669051,810.3018086430402,787.349910122363,790.8425903320312,102884,,,,10.03,Strong Bear,Uptrend,Hold,,,,,,,,,,15.8863,Oversold,,,,Oversold,-10.7495,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9019,Neutral,,,,,,,,,,,,,
