Date,Open,High,Low,Close,Volume,EMA_50,EMA_200,Below_EMA_200,EMA_score,EMA_trend,ST_state,ST_signal,MS_structure,MS_bias,Trend_score,Trend_band,Trend_agreement,Trend_description,RSI_14,RSI_state,MACD,MACD_signal,MACD_state,Stoch_state,ROC_10,ROC_10_z,ROC_10_z_basis,ROC_score,ROC_state,Momentum_score,Momentum_band,Momentum_agreement,Momentum_divergence,Momentum_description,BB_state,ADX_regime,ADX_direction,ADX_rising,ATR_rising,DC_state,Volatility_score,Volatility_band,Volatility_trend,Volatility_change,Volatility_squeeze,Volatility_description,ATR_note,Vol_state,Vol_trend,Vol_price_confirm,CMF,CMF_state,MFI,MFI_state,Stage_name,Stage_substage,Stage_confidence,Stage_days,Prev_stage_name,Prev_stage_days,Final_decision,Final_score,Final_conviction,Final_blocker,Final_description,Final_description_5d_ago,Final_description_10d_ago
2021-07-27,15860.5,15881.5498046875,15701.0,15746.4501953125,311000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-28,15761.5498046875,15767.5,15513.4501953125,15709.400390625,318600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-29,15762.7001953125,15817.349609375,15737.7998046875,15778.4501953125,401600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-30,15800.599609375,15862.7998046875,15744.849609375,15763.0498046875,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-02,15874.900390625,15892.900390625,15834.650390625,15885.150390625,244800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-03,15951.5498046875,16146.900390625,15914.349609375,16130.75,341300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-04,16195.25,16290.2001953125,16176.150390625,16258.7998046875,427300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05,16288.9501953125,16349.4501953125,16210.2998046875,16294.599609375,418200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,16304.400390625,16336.75,16223.2998046875,16238.2001953125,320100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-09,16281.349609375,16320.75,16179.0498046875,16258.25,240500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-10,16274.7998046875,16359.25,16202.25,16280.099609375,288000,,,,,,Uptrend,Hold,,,,,,,,,,,,,3.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-11,16327.2998046875,16338.75,16162.5498046875,16282.25,277900,,,,,,Uptrend,Hold,,,,,,,,,,,,,3.6465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-12,16303.650390625,16375.5,16286.900390625,16364.400390625,280200,,,,,,Uptrend,Hold,,,,,,,,,,,,,3.7136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,16385.69921875,16543.599609375,16376.2998046875,16529.099609375,321900,,,,,,Uptrend,Hold,,,,,,,,,,,,,4.8598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-16,16518.400390625,16589.400390625,16480.75,16563.05078125,254000,,,,83.26,Strong Bull,Uptrend,Hold,,,,,,,71.1545,Overbought,,,,,4.2675,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5463,Neutral,,,,,,,,,,,,,
2021-08-17,16545.25,16628.55078125,16495.400390625,16614.599609375,297400,,,,83.08,Strong Bull,Uptrend,Hold,,,,,,,72.9524,Overbought,,,,,2.9995,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.3512,Overbought,,,,,,,,,,,,,
2021-08-18,16691.94921875,16701.849609375,16535.849609375,16568.849609375,251800,,,,81.71,Strong Bull,Uptrend,Hold,,,,,,,68.8508,Neutral,,,,Overbought,1.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.7846,Overbought,,,,,,,,,,,,,
2021-08-20,16382.5,16509.55078125,16376.0498046875,16450.5,350800,,,,79.7,Bull,Uptrend,Hold,,,,,,,59.527,Neutral,,,,Overbought,0.9568,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4417,Neutral,,,,,,,,,,,,,
2021-08-23,16592.25,16592.5,16395.69921875,16496.44921875,275600,,,,80.17,Strong Bull,Uptrend,Hold,,,,,,,61.6958,Neutral,,,,Neutral,1.5904,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.6979,Neutral,,,,,,,,,,,,,
2021-08-24,16561.400390625,16647.099609375,16495.30078125,16624.599609375,275400,,,,81.59,Strong Bull,Uptrend,Hold,,,,,,,67.0061,Neutral,,,,Neutral,2.2533,,,,,,,,,,Upper Half,,,,,,,,,,,,,,,,,,72.3422,Neutral,,,,,,,,,,,,,
2021-08-25,16654.0,16712.44921875,16617.5,16634.650390625,265900,,,,76.19,Bull,Uptrend,Hold,,,,,,,67.388,Neutral,,,,Overbought,2.1778,,,,,,,,,,Upper Half,,,,,,,,,,,,,Normal,,Weak Up,0.2096,Accumulation,71.3153,Neutral,,,,,,,,,,,,,
2021-08-26,16627.94921875,16683.69921875,16603.400390625,16636.900390625,253500,,,,85.06,Strong Bull,Uptrend,Hold,,,,,,,67.4787,Neutral,,,,Overbought,2.1781,,,,,,,,,,Upper Half,,,,,Near Upper,,,,,,,,Normal,,Weak Up,0.177,Accumulation,63.6876,Neutral,,,,,,,,,,,,,
2021-08-27,16642.55078125,16722.05078125,16565.599609375,16705.19921875,217400,,,,88.18,Strong Bull,Uptrend,Hold,,,,,,,70.1903,Overbought,,,,Overbought,2.0826,,,,,,,,,,Upper Half,,,,,Near Upper,,,,,,,,Normal,,Weak Up,0.2094,Accumulation,70.985,Neutral,,,,,,,,,,,,,
2021-08-30,16775.849609375,16951.5,16764.849609375,16931.05078125,283500,,,,91.38,Strong Bull,Uptrend,Hold,,,,,,,77.015,Overbought,,,,Overbought,2.4318,,,,,,,,,,Above Upper,,,,,Breakout Up,,,,,,,,Normal,,Weak Up,0.2982,Accumulation,77.4553,Neutral,,,,,,,,,,,,,
2021-08-31,16947.5,17153.5,16915.849609375,17132.19921875,464400,,,,92.46,Strong Bull,Uptrend,Hold,,,,,,,81.1535,Overbought,,,,Overbought,3.4363,,,,,,,,,,Above Upper,,,,Yes,Breakout Up,,,,,,,,Normal,,Confirmed Up,0.3205,Accumulation,78.5352,Neutral,,,,,,,,,,,,,
2021-09-01,17185.599609375,17225.75,17055.05078125,17076.25,301900,,,,91.33,Strong Bull,Uptrend,Hold,,,,,,,77.0006,Overbought,,,,Overbought,2.7786,,,,,,,,,,At Upper,,,,Yes,Near Upper,,,,,,,,Normal,,Weak Down,0.2367,Accumulation,85.3624,Overbought,,,,,,,,,,,,,
2021-09-02,17095.400390625,17245.5,17059.69921875,17234.150390625,242400,,,,92.07,Strong Bull,Uptrend,Hold,,,,,,,80.0962,Overbought,356.9861,,,Overbought,4.0154,,,,,,,,,,Above Upper,,,,Yes,Breakout Up,,,,,,,,Normal,,Weak Up,0.2476,Accumulation,85.2728,Overbought,,,,,,,,,,,,,
2021-09-03,17262.44921875,17340.099609375,17212.19921875,17323.599609375,261400,,,,92.16,Strong Bull,Uptrend,Hold,,,84.55,Strong Bull,Bullish confirmed,"Strong Bull - all 3 components agree, trending ADX",81.6066,Overbought,372.0828,,,Overbought,5.3074,,,,,,,,,,Above Upper,Trending,Bullish,,No,Breakout Up,,,,,,,,Normal,,Weak Up,0.2729,Accumulation,85.1002,Overbought,,,,,,,,,,,,,
2021-09-06,17399.349609375,17429.55078125,17345.55078125,17377.80078125,228000,,,,91.96,Strong Bull,Uptrend,Hold,,,83.71,Strong Bull,Bullish confirmed,"Strong Bull - all 3 components agree, trending ADX",82.4744,Overbought,383.9941,,,Overbought,5.3427,,,,,,,,,,At Upper,Trending,Bullish,,No,Breakout Up,,,,,,,,Normal,,Weak Up,0.3098,Accumulation,85.047,Overbought,,,,,,,,,,,,,
2021-09-07,17401.55078125,17436.5,17287.0,17362.099609375,243400,,,,91.24,Strong Bull,Uptrend,Hold,,,83.28,Strong Bull,Bullish confirmed,"Strong Bull - all 3 components agree, trending ADX",81.2781,Overbought,387.6978,,,Overbought,4.4362,,,,,,,,,,Upper Half,Trending,Bullish,,No,Near Upper,,,,,,,,Normal,,Weak Down,0.3048,Accumulation,78.4932,Neutral,,,,,,,,,,,,,
2021-09-08,17375.75,17383.400390625,17254.19921875,17353.5,252700,,,,90.69,Strong Bull,Uptrend,Hold,,,82.85,Strong Bull,Bullish confirmed,"Strong Bull - all 3 components agree, trending ADX",80.5886,Overbought,385.4954,,,Overbought,4.3214,,,,,,,,,,Upper Half,Trending,Bullish,,No,Near Upper,,,,,,,,Normal,,Weak Down,0.3314,Accumulation,71.9511,Neutral,,,,,,,,,,,,,
2021-09-09,17312.849609375,17379.650390625,17302.69921875,17369.25,241500,,,,90.42,Strong Bull,Uptrend,Hold,,,82.92,Strong Bull,Bullish confirmed,"Strong Bull - all 3 components agree, trending ADX",80.908,Overbought,380.6332,,,Overbought,4.402,,,,,,,,,,Upper Half,Trending,Bullish,,No,Near Upper,,,,,,,,Normal,,Weak Up,0.3474,Accumulation,80.1821,Overbought,,,,,,,,,,,,,
2021-09-13,17363.55078125,17378.349609375,17269.150390625,17355.30078125,241100,,,,89.95,Strong Bull,Uptrend,Hold,,,82.25,Strong Bull,Bullish confirmed,"Strong Bull - all 3 components agree, trending ADX",79.6577,Overbought,371.3733,,,Overbought,3.8916,,,,,,,,,,Upper Half,Trending,Bullish,Yes,No,Near Upper,,,,,,,,Normal,,Weak Down,0.337,Accumulation,73.5737,Neutral,,,,,,,,,,,,,
2021-09-14,17420.349609375,17438.55078125,17367.05078125,17380.0,230400,,,,89.85,Strong Bull,Uptrend,Hold,,,81.35,Strong Bull,Bullish confirmed,"Strong Bull - all 3 components agree, trending ADX",80.24,Overbought,361.8565,,,Overbought,2.6516,,,,,,,,,,Upper Half,Trending,Bullish,No,No,Near Upper,,,,,,,,Normal,,Weak Up,0.2667,Accumulation,73.3414,Neutral,,,,,,,,,,,,,
2021-09-15,17387.650390625,17532.69921875,17386.900390625,17519.44921875,388200,,,,90.65,Strong Bull,Uptrend,Hold,,,83.33,Strong Bull,Bullish confirmed,"Strong Bull - all 3 components agree, trending ADX",83.1692,Overbought,361.4007,,,Overbought,2.2604,,,,,,,,,,Upper Half,Trending,Bullish,No,No,Breakout Up,,,,,,,,Normal,,Confirmed Up,0.2938,Accumulation,74.2915,Neutral,,,,,,,,,,,,,
2021-09-16,17539.19921875,17644.599609375,17510.44921875,17629.5,503300,,,,91.1,Strong Bull,Uptrend,Hold,,,83.98,Strong Bull,Bullish confirmed,"Strong Bull - all 3 components agree, trending ADX",85.0525,Overbought,365.7041,368.6006,bullish,Overbought,3.2399,,,,,,,,,,Upper Half,Trending,Bullish,Yes,No,Breakout Up,,,,,,,,Normal,,Confirmed Up,0.3102,Accumulation,81.9363,Overbought,,,,,,,,,,,,,
2021-09-17,17709.650390625,17792.94921875,17537.650390625,17585.150390625,508300,,,,90.29,Strong Bull,Uptrend,Hold,,,83.13,Strong Bull,Bullish confirmed,"Strong Bull - all 3 components agree, trending ADX",81.1136,Overbought,361.3703,367.1545,bullish accelerating,Overbought,2.0367,,,,,,,,,,Upper Half,Trending,Bullish,Yes,No,Near Upper,,,,,,,,Normal,,Confirmed Down,0.2692,Accumulation,83.2043,Overbought,,,,,,,,,,,,,
2021-09-20,17443.849609375,17622.75,17361.80078125,17396.900390625,339100,,,,88.5,Strong Bull,Uptrend,Hold,,,79.39,Strong Bull,Bullish confirmed,"Strong Bull - all 3 components agree, trending ADX",66.9421,Neutral,338.8396,361.4916,bullish accelerating,Neutral,0.4231,,,,,,,,,,Upper Half,Trending,Bullish,Yes,No,Inside,,,,,,,,Normal,,Confirmed Down,0.2218,Accumulation,75.7867,Neutral,,,,,,,,,,,,,
2021-09-21,17450.5,17578.349609375,17326.099609375,17562.0,363600,,,,89.68,Strong Bull,Uptrend,Hold,,,82.11,Strong Bull,Bullish confirmed,"Strong Bull - all 3 components agree, trending ADX",71.6244,Overbought,330.4962,355.2925,bullish accelerating,Neutral,1.06,,,,,,,,,,Upper Half,Trending,Bullish,Yes,Yes,Inside,,,,,,,,Normal,,Confirmed Up,0.2693,Accumulation,75.2854,Neutral,,,,,,,,,,,,,
2021-09-22,17580.900390625,17610.44921875,17524.0,17546.650390625,295200,,,,88.05,Strong Bull,Uptrend,Hold,,,81.01,Strong Bull,Bullish confirmed,"Strong Bull - all 3 components agree, trending ADX",70.6229,Overbought,318.9686,348.0277,bullish accelerating,Neutral,1.063,,,,,,,,,,Upper Half,Trending,Bullish,Yes,Yes,Inside,,,,,,,,Normal,,Weak Down,0.2139,Accumulation,75.2904,Neutral,,,,,,,,,,,,,
2021-09-23,17670.849609375,17843.900390625,17646.55078125,17822.94921875,320500,,,,90.38,Strong Bull,Uptrend,Hold,,,86.68,Strong Bull,Bullish confirmed,"Strong Bull - all 3 components agree, trending ADX",76.8878,Overbought,328.343,344.0908,bullish fading,Neutral,2.7052,,,,,,,,,,Upper Half,Trending,Bullish,Yes,Yes,Breakout Up,,,,,,,,Normal,,Confirmed Up,0.2803,Accumulation,75.7804,Neutral,,,,,,,,,,,,,
2021-09-24,17897.44921875,17947.650390625,17819.400390625,17853.19921875,360100,,,,90.93,Strong Bull,Uptrend,Hold,,,85.76,Strong Bull,Bullish confirmed,"Strong Bull - all 3 components agree, trending ADX",77.4547,Overbought,334.3588,342.1444,bullish fading,Overbought,2.7862,,,,,,,,,,Upper Half,Trending,Bullish,Yes,Yes,Breakout Up,,,,,,,,Normal,,Confirmed Up,0.2552,Accumulation,76.3667,Neutral,,,,,,,,,,,,,
2021-09-27,17932.19921875,17943.5,17802.900390625,17855.099609375,295700,,,,90.49,Strong Bull,Uptrend,Hold,,,86.19,Strong Bull,Bullish confirmed,"Strong Bull - all 3 components agree, trending ADX",77.492,Overbought,335.4134,340.7982,bullish fading,Overbought,2.8798,,,,,,,,,,Upper Half,Trending,Bullish,Yes,Yes,Near Upper,,,,,,,,Normal,,Weak Up,0.2133,Accumulation,70.1885,Neutral,,,,,,,,,,,,,
2021-09-28,17906.44921875,17912.849609375,17576.099609375,17748.599609375,398000,,,,89.3,Strong Bull,Uptrend,Hold,Range,,76.75,Strong Bull,Bullish confirmed,"Strong Bull - all 4 components agree, trending ADX",70.4484,Overbought,323.9215,337.4228,bullish accelerating,Overbought,2.1208,,,,,,,,,,Upper Half,Trending,Bullish,Yes,Yes,Inside,,,,,,,,Normal,,Confirmed Down,0.1769,Accumulation,67.7983,Neutral,,,,,,,,,,,,,
2021-09-29,17657.94921875,17781.75,17608.150390625,17711.30078125,562200,,,,88.81,Strong Bull,Uptrend,Hold,Range,,75.66,Strong Bull,Bullish confirmed,"Strong Bull - all 4 components agree, trending ADX",68.1133,Neutral,308.251,331.5885,bullish accelerating,Neutral,1.0951,,,,,,,,,,Upper Half,Trending,Bullish,Yes,Yes,Inside,,,,,,,,Normal,,Confirmed Down,0.1324,Accumulation,63.5479,Neutral,,,,,,,,,,,,,
