Date,Open,High,Low,Close,Volume,EMA_50,EMA_200,Below_EMA_200,EMA_score,EMA_trend,ST_state,ST_signal,MS_structure,MS_bias,Trend_score,Trend_band,Trend_agreement,Trend_description,RS_score,RS_state,RS_agreement,RSI_14,RSI_state,MACD,MACD_signal,MACD_state,Stoch_state,ROC_10,ROC_10_z,ROC_10_z_basis,ROC_score,ROC_state,Momentum_score,Momentum_band,Momentum_agreement,Momentum_divergence,Momentum_description,BB_state,ADX_regime,ADX_direction,ADX_rising,ATR_rising,DC_state,Volatility_score,Volatility_band,Volatility_trend,Volatility_change,Volatility_squeeze,Volatility_description,ATR_note,Vol_state,Vol_trend,Vol_price_confirm,CMF,CMF_state,MFI,MFI_state,Stage_name,Stage_substage,Stage_confidence,Stage_days,Prev_stage_name,Prev_stage_days,Final_decision,Final_score,Final_conviction,Final_blocker,Final_description,Final_description_5d_ago,Final_description_10d_ago
2023-09-26,522.6082570929276,530.209831741552,496.4778442382813,496.4778442382813,445145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-27,471.65869140625,471.65869140625,471.65869140625,471.65869140625,9680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-28,448.0747700035335,464.42764769231314,448.0747700035335,448.4928588867188,719895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,426.06821331218094,462.7458133528288,426.06821331218094,458.0423278808594,406820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-03,454.0039641031543,454.0039641031543,435.14258312029966,436.8434143066406,1008460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-04,428.7287461942578,435.95021763910097,415.0079040527344,415.0079040527344,262390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-05,404.0236508543017,426.628809604088,399.08261638568376,413.65863037109375,465885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-06,414.28580275683686,434.3349609375,403.8716539995545,434.3349609375,153695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-09,435.00007150253424,441.4614269638283,418.3811392058991,425.8497009277344,57365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-10,429.4889335274927,447.1340942382813,429.4889335274927,447.1340942382813,109095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-11,459.3250905317886,463.69600126125073,434.2969123040921,447.6851806640625,141800,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-9.8278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12,453.0443260708324,460.8454334328856,439.00041897066217,449.2530212402344,77905,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-4.7504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-13,448.2648109498075,457.04461930543295,441.8414718857096,445.71826171875,108420,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-0.6186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-16,437.4705601731673,449.2529935961759,437.4705601731673,446.430908203125,216860,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-2.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-17,448.4928471240785,456.0944208041476,443.5518126329526,446.906005859375,168410,,,,59.15,Neutral,Uptrend,Hold,,,,,,,,,,16.4646,Oversold,,,,,2.3035,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1498,Oversold,,,,,,,,,,,,,
2023-10-18,446.98207292502894,449.4430791174273,440.92932404673775,447.2671203613281,151310,,,,56.93,Neutral,Uptrend,Hold,,,,,,,,,,16.6215,Oversold,,,,,7.7732,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5094,Oversold,,,,,,,,,,,,,
2023-10-19,447.3525958627393,491.983365129274,443.751371239215,486.71923828125,571400,,,,97.58,Strong Bull,Uptrend,Hold,,,,,,,,,,31.7107,Neutral,,,,Neutral,17.6621,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7609,Neutral,,,,,,,,,,,,,
2023-10-20,486.1301363218007,492.2019073604536,483.01349219958087,486.8808288574219,256410,,,,93.76,Strong Bull,Uptrend,Hold,,,,,,,,,,31.7652,Neutral,,,,Overbought,12.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.413,Neutral,,,,,,,,,,,,,
2023-10-23,487.4509318542874,493.91225814333296,467.5442983792853,477.939453125,297640,,,,86.75,Strong Bull,Uptrend,Hold,,,,,,,,,,30.3239,Neutral,,,,Overbought,12.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8154,Neutral,,,,,,,,,,,,,
2023-10-25,482.6999397365557,494.1023005177343,474.7372864847336,480.2199401855469,173905,,,,86.21,Strong Bull,Uptrend,Hold,,,,,,,,,,31.1816,Neutral,,,,Overbought,7.3995,,,,,,,,,,Upper Half,,,,,,,,,,,,,,,,,,59.1188,Neutral,,,,,,,,,,,,,
2023-10-26,475.0983636357687,517.7527086418854,467.800859729772,513.9708862304688,490400,,,,99.43,Strong Bull,Uptrend,Hold,,,,,,,,,,42.4686,Neutral,,,,Overbought,14.8063,,,,,,,,,,Above Upper,,,,,,,,,,,,,Normal,,Confirmed Up,-0.0817,Distribution,74.4875,Neutral,,,,,,,,,,,,,
2023-10-27,518.8074079355604,523.1688363883816,508.3552440394228,515.6907348632812,166270,,,,98.66,Strong Bull,Uptrend,Hold,,,,,,,,,,42.9818,Neutral,,,,Overbought,14.7885,,,,,,,,,,Above Upper,,,,,Near Upper,,,,,,,,Normal,,Weak Up,-0.0799,Distribution,74.8587,Neutral,,,,,,,,,,,,,
2023-10-30,551.1141415629357,560.2075318581734,534.0296217330159,544.1016845703125,489180,,,,100.0,Strong Bull,Uptrend,Hold,,,,,,,,,,50.7909,Neutral,,,,Overbought,22.073,,,,,,,,,,Above Upper,,,,,Breakout Up,,,,,,,,Normal,,Confirmed Up,0.0157,Neutral,78.5423,Neutral,,,,,,,,,,,,,
2023-10-31,570.308096933262,572.0374619655336,538.7900871964098,555.551513671875,811705,,,,100.0,Strong Bull,Uptrend,Hold,,,,,,,,,,53.5518,Neutral,,,,Overbought,24.4429,,,,,,,,,,Above Upper,,,,,Near Upper,,,,,,,,High,,Confirmed Up,-0.0332,Neutral,82.7409,Overbought,,,,,,,,,,,,,
2023-11-01,560.6160452519424,565.9276702495104,539.9967655478328,550.3444213867188,193465,,,,98.74,Strong Bull,Uptrend,Hold,,,,,,,,,,52.1196,Neutral,,,,Overbought,23.1455,,,,,,,,,,Upper Half,,,,No,Inside,,,,,,,,Normal,,Weak Down,0.1086,Accumulation,78.013,Neutral,,,,,,,,,,,,,
2023-11-02,560.7870467977206,566.1081827861909,543.6550315128507,547.2277221679688,169840,,,,97.2,Strong Bull,Uptrend,Hold,,,,,,,,,,51.2364,Neutral,,,,Overbought,22.3492,,,,,,,,,,Upper Half,,,,No,Inside,,,,,,,,Normal,,Weak Down,0.1383,Accumulation,78.6112,Neutral,,,,,,,,,,,,,
2023-11-03,564.3598458738373,564.3598458738373,540.0158103884504,547.0947875976562,114920,,,,96.36,Strong Bull,Uptrend,Hold,,,,,,,,,,51.1966,Neutral,39.9828,,,Overbought,12.4046,,,,,,,,,,Upper Half,,,,No,Inside,,,,,,,,Dry-up,,Weak Down,0.1329,Accumulation,78.0811,Neutral,,,,,,,,,,,,,
