Date,Open,High,Low,Close,Volume,EMA_50,EMA_200,Below_EMA_200,EMA_score,EMA_trend,ST_state,ST_signal,MS_structure,MS_bias,Trend_score,Trend_band,Trend_agreement,Trend_description,RS_score,RS_state,RS_agreement,RSI_14,RSI_state,MACD,MACD_signal,MACD_state,Stoch_state,ROC_10,ROC_10_z,ROC_10_z_basis,ROC_score,ROC_state,Momentum_score,Momentum_band,Momentum_agreement,Momentum_divergence,Momentum_description,BB_state,ADX_regime,ADX_direction,ADX_rising,ATR_rising,DC_state,Volatility_score,Volatility_band,Volatility_trend,Volatility_change,Volatility_squeeze,Volatility_description,ATR_note,Vol_state,Vol_trend,Vol_price_confirm,CMF,CMF_state,MFI,MFI_state,Stage_name,Stage_substage,Stage_confidence,Stage_days,Prev_stage_name,Prev_stage_days,Final_decision,Final_score,Final_conviction,Final_blocker,Final_description,Final_description_5d_ago,Final_description_10d_ago
2025-09-12,365.0,369.0,350.5,358.1000061035156,106559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15,356.0,366.1000061035156,352.79998779296875,364.4500122070313,248540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-16,364.1000061035156,378.75,361.7999877929688,369.3500061035156,143126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-17,370.3500061035156,382.0,365.3500061035156,376.5499877929688,177667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18,375.5,388.8500061035156,375.2000122070313,383.8500061035156,154852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19,385.0,389.5499877929688,379.8500061035156,384.1000061035156,139440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-22,384.0,384.8999938964844,374.7999877929688,376.8999938964844,144010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-23,376.4500122070313,382.8999938964844,374.0,379.5499877929688,53619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-24,379.5499877929688,381.5499877929688,372.3500061035156,378.7000122070313,49941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-25,382.5,382.5,372.3999938964844,375.7999877929688,56981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-26,376.3500061035156,376.8999938964844,362.0,362.9500122070313,33110,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,1.3544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-29,362.6499938964844,369.3999938964844,360.6000061035156,364.7000122070313,62940,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,0.0686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,364.7000122070313,370.0,358.04998779296875,360.5,72441,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-2.3961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-01,358.5,372.4500122070313,358.5,363.1000061035156,54661,,,,,,Uptrend,Hold,,,,,,,,,,,,,,,,-3.5719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-03,360.0,367.5,360.0,365.0,46312,,,,19.31,Strong Bear,Uptrend,Hold,,,,,,,,,,71.744,Overbought,,,,,-4.9108,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.8721,Neutral,,,,,,,,,,,,,
