Rank,Symbol,Portfolio,Trend_score,Final_score,Final_score_category,Old_Final_score,Old_Final_score_category,RS_agreement,RSI_14,RSI_state,EMA_score,Below_EMA_200,ST_state,Momentum_band,ROC_composite,Volatility_band,Vol_trend,Stage,Final_description
1,ROSSTECH,N,99.66,91.6,A,72.08,B,Leads both,73.4627,Overbought,99.02,No,Uptrend,Strong Bullish,13.32,,Rising,"2 - Advancing (late, conf 84, 148d)","2 - Advancing, trend 100 with bullish confirmed, momentum and volume confirm; outperforming both benchmarks, late in the stage, reduce size"
2,STLTECH,N,96.75,87.63,A,62.0,C,Leads both,68.2648,Neutral,98.13,No,Uptrend,Strong Bullish,15.22,,Falling,"2 - Advancing (late, conf 84, 138d)","2 - Advancing, trend 97 with bullish confirmed, momentum and volume confirm; outperforming both benchmarks, late in the stage, reduce size"
3,YATHARTH,Y,97.69,85.44,A,79.58,B,Leads both,59.5139,Neutral,93.41,No,Uptrend,Bullish,0.38,,Rising,"2 - Advancing (mid, conf 84, 73d)","2 - Advancing, trend 98 with bullish confirmed, momentum and volume confirm; outperforming both benchmarks"
4,RACLGEAR,N,89.91,83.74,A,74.88,B,Leads both,73.4608,Overbought,99.73,No,Uptrend,Strong Bullish,13.25,,Rising,"2 - Advancing (late, conf 84, 284d)","2 - Advancing, trend 90 with bullish confirmed, momentum and volume confirm; outperforming both benchmarks, late in the stage, reduce size"
5,MANORAMA,N,97.38,80.0,A,80.0,A,Leads both,57.7291,Neutral,92.52,No,Uptrend,Strong Bullish,1.93,,Falling,"2 - Advancing (mid, conf 84, 58d)","2 - Advancing, trend 97 long confirmed but participation is thin - reduce size, breakouts without volume fail more often"
6,TDPOWERSYS,N,94.03,77.04,B,73.03,B,Leads both,47.8451,Neutral,88.38,No,Uptrend,Neutral,-3.98,,Falling,"2 - Advancing (late, conf 84, 326d)","2 - Advancing, trend 94 with bullish confirmed, momentum and volume confirm; outperforming both benchmarks, late in the stage, reduce size"
7,SBCL,N,92.79,76.83,B,75.0,B,Leads both,48.7803,Neutral,84.15,No,Uptrend,Neutral,-4.27,,Falling,"2 - Advancing (late, conf 84, 88d)","2 - Advancing, trend 93 with bullish confirmed, momentum and volume confirm; outperforming both benchmarks, late in the stage, reduce size"
8,CARTRADE,N,96.2,76.78,B,69.5,B,Leads both,56.2219,Neutral,89.15,No,Uptrend,Bullish,-3.08,,Falling,"2 - Advancing (early, conf 84, 8d)","2 - Advancing, trend 96 long confirmed but participation is thin - reduce size, breakouts without volume fail more often"
9,CENTUM,N,86.71,76.38,B,50.27,C,Leads both,57.446,Neutral,93.92,No,Uptrend,Strong Bullish,4.61,,Rising,"2 - Advancing (late, conf 84, 92d)","2 - Advancing, trend 87 long confirmed but participation is thin - reduce size, breakouts without volume fail more often"
10,SONACOMS,N,81.34,75.93,B,71.55,B,Leads both,51.6808,Neutral,78.6,No,Uptrend,Bullish,-1.3,,Falling,"2 - Advancing (late, conf 84, 138d)","2 - Advancing, trend 81 with bullish confirmed, momentum and volume confirm; outperforming both benchmarks, late in the stage, reduce size"
11,SANSERA,N,83.32,74.52,B,76.13,B,Leads both,47.6742,Oversold,89.61,No,Uptrend,Bullish,-1.27,,Falling,"2 - Advancing (late, conf 84, 243d)","2 - Advancing, trend 83 with bullish confirmed, momentum and volume confirm; outperforming both benchmarks, late in the stage, reduce size"
12,AETHER,Y,87.77,74.46,B,76.73,B,Leads both,45.8046,Neutral,77.5,No,Uptrend,Neutral,-4.06,,Falling,"2 - Advancing (late, conf 84, 186d)","2 - Advancing, trend 88 with bullish confirmed, momentum and volume confirm; outperforming both benchmarks, late in the stage, reduce size"
13,ETERNAL,N,87.07,71.41,B,72.0,B,Leads both,46.7364,Neutral,76.07,No,Uptrend,Neutral,-2.77,,Rising,"2 - Advancing (early, conf 84, 18d)","2 - Advancing, trend 87 long confirmed but participation is thin - reduce size, breakouts without volume fail more often"
14,KRN,Y,86.45,70.0,B,83.45,A,Leads both,52.2808,Neutral,89.85,No,Uptrend,Bullish,-3.6,,Rising,"2 - Advancing (late, conf 84, 98d)","2 - Advancing, trend 86 long but momentum diverging - trend tiring, tighten stop"
15,MCX,N,90.27,70.0,B,76.62,B,Leads both,47.8416,Neutral,84.71,No,Uptrend,Neutral,-4.88,,Falling,"2 - Advancing (late, conf 84, 311d)","2 - Advancing, trend 90 long but momentum diverging - trend tiring, tighten stop"
16,SKYGOLD,Y,96.78,70.0,B,74.6,B,Leads both,56.3142,Neutral,90.81,No,Uptrend,Bullish,-0.79,,Falling,"2 - Advancing (late, conf 84, 133d)","2 - Advancing, trend 97 long but momentum diverging - trend tiring, tighten stop"
17,ATHERENERG,Y,88.42,70.0,B,75.65,B,Leads both,43.3294,Oversold,88.11,No,Uptrend,Neutral,-1.98,,Falling,"2 - Advancing (late, conf 84, 181d)","2 - Advancing, trend 88 long but momentum diverging - trend tiring, tighten stop"
18,KMEW,N,82.9,69.46,B,82.59,A,Leads both,47.8937,Neutral,74.93,No,Uptrend,Neutral,-5.76,,Falling,"2 - Advancing (late, conf 84, 238d)","2 - Advancing, trend 83 long confirmed but participation is thin - reduce size, breakouts without volume fail more often"
19,SYRMA,N,67.44,65.72,B,62.0,C,Leads both,55.2374,Neutral,89.3,No,Uptrend,Bullish,-1.76,,Rising,"2 - Advancing (late, conf 84, 97d)","2 - Advancing, trend 67 long but momentum diverging - trend tiring, tighten stop"
20,APARINDS,N,80.8,64.64,C,74.46,B,Leads both,47.7206,Neutral,79.53,No,Uptrend,Neutral,-4.64,Normal,Falling,"2 - Advancing (mid, conf 84, 132d)","2 - Advancing, trend 81 long confirmed but participation is thin - reduce size, breakouts without volume fail more often"
21,AEROFLEX,Y,82.1,64.14,C,77.58,B,Leads both,49.368,Neutral,85.98,No,Uptrend,Neutral,-5.41,,Rising,"2 - Advancing (late, conf 84, 124d)","2 - Advancing, trend 82 long but momentum diverging - trend tiring, tighten stop"
22,LUMAXTECH,N,90.96,62.0,C,68.75,B,Leads both,51.4556,Neutral,88.88,No,Uptrend,Bullish,0.46,,Falling,"2 - Advancing (early, conf 84, 13d)","2 - Advancing, trend 91 but ADX shows no trend, this is a range - wait for alignment"
23,KALYANKJIL,Y,77.42,62.0,C,67.03,B,Leads both,54.4184,Neutral,89.12,No,Uptrend,Bullish,0.31,Low,Falling,"2 - Advancing (early, conf 84, 22d)","2 - Advancing, trend 77 but ADX shows no trend, this is a range - wait for alignment"
24,NYKAA,N,89.6,62.0,C,71.24,B,Leads both,46.0464,Neutral,89.48,No,Uptrend,Bullish,-0.26,,Falling,"2 - Advancing (late, conf 84, 102d)","2 - Advancing, trend 90 but ADX shows no trend, this is a range - wait for alignment"
25,AZAD,Y,76.9,62.0,C,74.58,B,Leads both,47.5942,Neutral,79.8,No,Uptrend,Neutral,-5.14,,Falling,"2 - Advancing (late, conf 84, 98d)","2 - Advancing, trend 77 but ADX shows no trend, this is a range - wait for alignment"
26,AIMTRON,Y,88.11,62.0,C,68.0,B,Leads both,52.7626,Neutral,91.2,No,Uptrend,Bullish,1.12,Low,Falling,"2 - Advancing (late, conf 84, 109d)","2 - Advancing, trend 88 but ADX shows no trend, this is a range - wait for alignment"
27,QPOWER,N,71.02,61.14,C,83.73,A,Leads both,46.4239,Neutral,83.44,No,Uptrend,Neutral,-5.34,,Rising,"2 - Advancing (late, conf 84, 98d)","2 - Advancing, trend 71 but ADX shows no trend, this is a range - wait for alignment"
28,SKIPPER,N,70.21,59.93,C,59.17,C,Leads both,45.5688,Neutral,78.76,No,Uptrend,Neutral,-7.62,,Rising,"2 - Advancing (early, conf 84, 53d)","2 - Advancing, trend 70 but ADX shows no trend, this is a range - wait for alignment"
29,APOLLOHOSP,N,64.82,59.78,C,57.62,C,Leads both,43.9124,Neutral,77.78,No,Uptrend,Neutral,-0.86,,Falling,"2 - Advancing (late, conf 84, 71d)","2 - Advancing, trend 65 but components disagree - wait for alignment"
30,KDDL,N,64.04,59.61,C,71.64,B,Leads both,45.5071,Neutral,77.8,No,Uptrend,Neutral,-4.56,Low,Rising,"2 - Advancing (late, conf 84, 63d)","2 - Advancing, trend 64 but components disagree - wait for alignment"
31,CPPLUS,N,56.52,59.19,C,57.2,C,Leads both,53.0588,Neutral,89.23,No,Downtrend,Bullish,1.05,,Rising,"2 - Advancing (late, conf 84, 119d)","2 - Advancing, but trend score 57 does not confirm long - no directional edge"
32,YASHHV,Y,63.1,58.51,C,61.78,C,Leads both,40.9399,Neutral,82.82,No,Uptrend,Neutral,-1.26,,Falling,"2 - Advancing (late, conf 84, 92d)","2 - Advancing, trend 63 but components disagree - wait for alignment"
33,SJS,N,63.15,57.95,C,63.56,C,Leads both,42.7198,Oversold,59.31,No,Uptrend,Bearish,-4.53,,Falling,"2 - Advancing (mid, conf 74, 87d)","2 - Advancing, trend 63 with bullish majority, momentum and volume confirm; outperforming both benchmarks"
34,HFCL,Y,56.07,55.83,C,68.25,B,Leads both,45.5827,Neutral,79.86,No,Downtrend,Neutral,-8.96,,Falling,"2 - Advancing (late, conf 84, 102d)","2 - Advancing, but trend score 56 does not confirm long - no directional edge"
35,RATEGAIN,Y,61.57,54.88,C,60.33,C,Leads both,43.1237,Neutral,51.97,No,Uptrend,Neutral,-2.33,,Falling,"2 - Advancing (mid, conf 64, 68d)","2 - Advancing, trend 62 but components disagree - wait for alignment"
36,PARAS,N,60.14,54.77,C,73.09,B,Leads both,43.9611,Neutral,74.55,No,Uptrend,Bearish,-9.38,,Rising,"2 - Advancing (late, conf 84, 93d)","2 - Advancing, trend 60 long confirmed but participation is thin - reduce size, breakouts without volume fail more often"
37,IKS,N,41.84,52.13,C,43.55,D,Leads both,51.8752,Neutral,60.4,No,Downtrend,Bullish,0.63,,Falling,"2 - Advancing (late, conf 64, 43d)","2 - Advancing, but trend score 42 does not confirm long - no directional edge"
